time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-07-22,1645.63,1517.35,1575.68,528752.83,840140414.82,1535.71,direct,
2022-07-23,1596.62,1489.25,1535.71,290504.24,446044212.66,1549.19,direct,
2022-07-24,1663.54,1547.28,1549.19,325192.76,520874215.21,1597.72,direct,
2022-07-25,1609.22,1436.41,1597.72,544663.57,825050213.7,1438.01,direct,
2022-07-26,1454.25,1357.04,1438.01,479756.97,672687209.31,1449.61,direct,
2022-07-27,1644.64,1421.1,1449.61,673500.22,1027698858.37,1636.88,direct,
2022-07-28,1787.55,1594.83,1636.88,807586.53,1357299240.21,1725.82,direct,
2022-07-29,1765.97,1657.01,1725.82,559704.54,957967061.54,1722.28,direct,
2022-07-30,1744.59,1674.67,1722.28,331717.7,567955261.28,1697.52,direct,
2022-07-31,1751.92,1668.02,1697.52,248682.73,424322605.22,1679.55,direct,
2022-08-01,1704.81,1607.21,1679.55,379375.89,627822477.99,1630.62,direct,
2022-08-02,1677.78,1561.58,1630.62,446049.98,720425386.6,1631.11,direct,
2022-08-03,1683.19,1590.67,1631.11,462564.12,761209687.44,1618.68,direct,
2022-08-04,1663.09,1580.86,1618.68,457785.75,741257669.99,1607.96,direct,
2022-08-05,1740.57,1605.96,1607.96,671916.35,1128383162.41,1736.78,direct,
2022-08-06,1749.5,1687.21,1736.78,384066.13,660571163.49,1690.67,direct,
2022-08-07,1729.12,1669.23,1690.67,263873.55,447819960.84,1700.54,direct,
2022-08-08,1816.57,1693.75,1700.54,554955.47,981265580.22,1777.99,direct,
2022-08-09,1790.92,1669.6,1777.99,523158.46,898080190.62,1703.41,direct,
2022-08-10,1885.46,1657.4,1703.41,757563.54,1352776291.18,1854.05,direct,
2022-08-11,1941.32,1851.21,1854.05,707974.68,1341570228.57,1881.06,direct,
2022-08-12,1966.09,1854.29,1881.06,433649.57,824715568.77,1959.26,direct,
2022-08-13,2020.32,1947.46,1959.26,403298.25,800730150.33,1984.29,direct,
2022-08-14,2030.19,1907.04,1984.29,372768.51,734838036.93,1936.02,direct,
2022-08-15,2012.94,1869.02,1936.02,672460.01,1291080609.46,1899.64,direct,
2022-08-16,1915.11,1853.68,1899.64,498202.68,938206003.68,1877.16,direct,
2022-08-17,1957.07,1817.73,1877.16,678299.81,1267374734.89,1834.04,direct,
2022-08-18,1882.41,1821.45,1834.04,399086.53,742010328.68,1846.36,direct,
2022-08-19,1847.92,1603.31,1846.36,1076675.38,1847934898.07,1609.05,direct,
2022-08-20,1656.86,1524.51,1609.05,678602.59,1089158535.71,1575.73,direct,
2022-08-21,1645.6,1562.97,1575.73,566027.26,910431597.18,1617.86,direct,
2022-08-22,1628.88,1529.73,1617.86,751031.05,1182900442.15,1624.65,direct,
2022-08-23,1672.46,1563.84,1624.65,652829.75,1062895745.35,1664.76,direct,
2022-08-24,1694.44,1605.04,1664.76,666453.38,1100702910.25,1656.52,direct,
2022-08-25,1722.01,1653.92,1656.52,451003.41,765141174.18,1695.85,direct,
2022-08-26,1704.96,1487.79,1695.85,933483.42,1511768507.05,1508.09,direct,
2022-08-27,1518.79,1448.62,1508.09,556305.82,828407067.63,1491.26,direct,
2022-08-28,1510.14,1424.21,1491.26,427103.56,630935011.23,1426.4,direct,
2022-08-29,1560.09,1422.09,1426.4,705103.15,1049519720.22,1552.4,direct,
2022-08-30,1605.77,1474.69,1552.4,787770.35,1220810502.07,1524.62,direct,
